instruction,response,text
What is the author's demand for what the politicians should do?,"The author's claim is that the politicians show the same enthusiasm as now at the playgrounds, so that the two Covid-19 laws, which are currently being discussed in the health committee, will be legal and ethical.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What is the author's demand for what the politicians should do? 

###Response: The author's demand is that the politicians show the same enthusiasm as they do now at the playgrounds, so that the two Covid-19 laws legally and ethically keep the road, which is currently being discussed in the health committee become"
Give me the details of the enhanced service in public transport during the Schueberfouer 2012.,"During the Schueberfouer 2012, which lasts from August 23 to September 11, 2012, there will again be numerous initiatives in the field of public transport. The service of lines 1, 2, 3, 4, 12, 13, 18 and 19 between the station and the fore is free and indeed from 6 pm during the week and from 1 pm at the weekend.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: Give me the details of the enhanced service in public transport during the Schueberfouer 2012. 

###Response: During the Schueberfouer 2012, which lasts from August 23 to September 11, 2012, there will again be numerous initiatives in the domain of public transport. The service of lines 1, 2, 3, 4, 12, 13, 18 and 19 between the station and the fore is free and indeed from 6 pm during the week and from 1 pm at the weekend."
How can I reserve the bus on demand 'Call a Bus'?,The bus on demand 'Call a Bus' can be reserved on the number 4796-4797. You have to reserve 45 minutes in advance.,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: How can I reserve the bus on demand 'Call a Bus'? 

###Response: The bus on request 'Call a Bus' can be reserved on the number 4796-4797. You have to reserve 45 minutes in advance."
Give me the information about the Fuer-Rollibus for people in wheelchairs.,The Fouer-Rollibus runs every day from 3:15 p.m. to 10:30 p.m. between P+R Bouillon and Fouer. You don't have to make a reservation here.,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: Give me the information about the Fuer-Rollibus for people in wheelchairs. 

###Response: The Fouer-Rollibus runs every day from 3:15 p.m. to 10:30 p.m. between P+R Bouillon and Fouer. You don't have to make a reservation here."
When and where does the City Night Bus CN1 go?,"The City Night Bus CN1 goes from the Upper Town via Hollerech, Gare, Clausen, Neidorf and to the Zens.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: When and where does the City Night Bus CN1 go? 

###Response: The City Night Bus CN1 goes from the Upper Town via Hollerech, Gare, Clausen, Neidorf and to the Zens."
Give me the contact information for more information about the public transport service.,"The contact information is: Call Center of the Mobility Center (2465 2465), Renseignement CFL (2489 2489) and Renseignement Ville de Luxembourg (4796 2975).","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: Give me the contact information for more information about the public transport service. 

###Response: The contact information is: Call Center of the Mobility Center (2465 2465), Renseignement CFL (2489 2489) and Renseignement Ville de Luxembourg (4796 2975)."
"What was the reason for the large demonstration on the Place d'Armes in Luxembourg on February 11, 2012?","On February 11, 2012, about 300 people demonstrated at the Place d'Armes in Luxembourg to protest against the international agreement against piracy, the ACTA agreement.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What was the reason for the large demonstration on the Place d'Armes in Luxembourg on February 11, 2012? 

###Response: On February 11, 2012, about 300 people demonstrated at the Place d'Armes in Luxembourg to protest against the international agreement against piracy, the ACTA agreement."
"How many people protested against the ACTA agreement in Luxembourg on February 11, 2012?",About 300 people protested against the ACTA agreement on 11 February 2012 at the Place d'Armes in Luxembourg.,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: How many people protested against the ACTA agreement in Luxembourg on February 11, 2012? 

###Response: About 300 people protested against the ACTA agreement on February 11, 2012 at the Place d'Armes in Luxembourg."
What is the ACTA agreement and how does it affect the right to free exchange of information on the Internet?,"The ACTA agreement is an international agreement against piracy, which in the eyes of the protesters restricts the right to free exchange of information on the Internet.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What is the ACTA agreement and how does it affect the right to free exchange of information on the Internet? 

###Response: The ACTA agreement is an international agreement against piracy, which in the eyes of the protesters restricts the right to free exchange of information on the Internet."
"What did Economy Minister Etienne Schneider say about the ACTA agreement on February 11, 2012?","The Minister of Economy Etienne Schneider said on February 11, 2012 that the ACTA agreement does not change anything in the Luxembourg legislation, but Luxembourg would not agree with the ACTA agreement being used as a pretext for the principle of the ' Three Strikes' to be enforced.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What did Economy Minister Etienne Schneider say about the ACTA agreement on February 11, 2012? 

###Response: The Minister of Economy Etienne Schneider said on February 11, 2012 that the ACTA agreement does not change anything in the Luxembourg legislation, but Luxembourg does not agree with the fact that the ACTA agreement is used as a pretext for to enforce the principle of the 'Three Strikes'."
What is the principle of the 'Three Strikes' and how does it affect internet providers?,The principle of the 'Three Strikes' stipulates that an Internet provider must denounce a customer if the latter makes an illegal download for a third party.,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What is the principle of the 'Three Strikes' and how does it affect internet providers? 

###Response: The principle of the 'Three Strikes' stipulates that an Internet provider must denounce a customer if the latter makes an illegal download for a third party."
"What was October 5, 1963?","On October 5, 1963, the Beatles entered the German charts for the first time, with the title 'Twist And Shout'.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What was October 5, 1963? 

###Response: On October 5, 1963, the Beatles entered the German charts for the first time, with the title 'Twist And Shout'."
"How old was Abi Ofarim on October 5, 2011?","Abi Ofarim was 74 years old on October 5, 2011.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: How old was Abi Ofarim on October 5, 2011? 

###Response: Abi Ofarim was 74 years old on October 5, 2011."
"What was the number 1 hit of the day on October 5, 1968 in Germany?","The number one hit of the day on October 5, 1968 in Germany was 'Hey Jude' by the Beatles.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What was the number 1 hit of the day on October 5, 1968 in Germany? 

###Response: The number 1 hit of the day on October 5, 1968 in Germany was 'Hey Jude' by the Beatles."
When did Brian Johnson become a member of the band AC/DC?,Brian Johnson became a member of the band AC/DC in 1980 when he replaced Bon Scott.,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: When did Brian Johnson become a member of the band AC/DC? 

###Response: Brian Johnson became a member of the band AC/DC in 1980 when he replaced Bon Scott."
"What was the title of the number 1 album of the day on October 5, 1991 in the United States?","The title of the number 1 album of the day on October 5, 1991 in the USA was 'Use Your Illusion II' by Guns N' Roses.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What was the title of the number 1 album of the day on October 5, 1991 in the United States? 

###Response: The title of the number 1 album of the day on October 5, 1991 in the USA was 'Use Your Illusion II' by Guns N' Roses."
Give me the title of the bestseller in Luxembourg in March 2010 at number 1.,In the judicial turmoil from 1962 to this day,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: Give me the title of the bestseller in Luxembourg in March 2010 in place 1. 

###Response: Dans la tourmente judicaire de 1962 à ce jour"
Who is the author of the book 'Luxembourgish Folk Tales and Tales' which was ranked 6th in the bestseller list in Luxembourg in March 2010?,Nico Brettner,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: Who is the author of the book 'Luxembourgish Folk Tales and Tales' which was ranked 6th in the bestseller list in Luxembourg in March 2010? 

###Response: Nico Brettner"
Give me the title of the book on the 3rd bestseller in Luxembourg in March 2010.,Luxemburger cuisine - modern dished up,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: Give me the title of the book on the 3rd bestseller list in Luxembourg in March 2010. 

###Response: Luxembourger Kascht - modern dished up"
"When was the bestseller published in Luxembourg, on which 'E Graf op Madeira' was written?","The bestseller in Luxembourg was published in March 2010, the date of publication of the book 'E Graf op Madeira' is not known.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: When was the bestseller published in Luxembourg, on which 'E Graf op Madeira' was written? 

###Response: The bestseller in Luxembourg was published in March 2010, the date of publication of the book 'E Graf op Madeira' is not known."
Give me the name of the publisher of the book 'Luxembourg le Grand-duché' which was in the bestseller in Luxembourg in March 2010.,Editions Guy Binsfeld,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: Give me the name of the publisher of the book 'Luxembourg le Grand-duché' which was a bestseller in Luxembourg in March 2010. 

###Response: Editions Guy Binsfeld"
What is the state of the forest in Luxembourg in 2020?,"The forest in Luxembourg has many problems, especially in the spruce and pine forests, where a great many trees have been destroyed due to the drought and the infestation of the bark beetle.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What is the state of the forest in Luxembourg in 2020? 

###Response: The forest in Luxembourg has many problems, especially in the spruce and pine forests, where a great many trees have been destroyed by the drought and the bark beetle infestation."
What is the capital of the department of forests?,"Luxembourg is the capital of the department of forests, which was created in 1795 under Napoleon the first.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What is the capital of the department of forests? 

###Response: Luxembourg is the capital of the department of forests, which was created in 1795 under Napoleon the first."
What are the most important functions of the forest?,"The forest fulfills a number of ecological functions that have a high value, such as water storage, erosion protection, filter for dust and pollutants, and it is an important recovery space for all of us.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What are the most important functions of the forest? 

###Response: The forest fulfills a number of ecological functions that have a high value, such as water storage, erosion protection, filter for dust and pollutants, and it is an important recovery space for all of us."
What is the percentage of the core probed trees in Luxembourg in 1986 and 2019?,"According to the Statec, in 1986 77% of the trees were core healthy, and in 2019 there were only around 13%.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What is the percentage of trees that were cored in Luxembourg in 1986 and 2019? 

###Response: According to Statec, in 1986 77% of the trees were core healthy, and in 2019 there were only around 13%."
What is the state of the forest in Luxembourg in light of climate change?,"The forest is suffering from climate change, the droughts of the last few years have severely affected it, and there is still a long way to go to make up for the mistakes of the past.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What is the state of the forest in Luxembourg in light of climate change? 

###Response: The forest is suffering from climate change, the droughts of the last few years have severely affected it, and there is still a long way to go to make up for the mistakes of the past."
Give me the name of the band that had their last concert in Toronto in 1982.,Who,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: Give me the name of the band that had their last concert in Toronto in 1982. 

###Response: Who"
"What is the title of the biggest success of the band Soul II Soul, which was number 1 in the English charts on June 24, 1989?",Back To Life,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What is the title of the greatest success of the band Soul II Soul, which was number 1 on the English charts on June 24, 1989? 

###Response: Back To Life"
Give me the name of the singer whose birthday is June 24th and who is a member of the band Orchestral Maneuvers In The Dark.,Andrew McCluskey,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: Give me the name of the singer whose birthday is June 24th and who is a member of the band Orchestral Maneuvers In The Dark. 

###Response: Andrew McCluskey"
"What is the title of the album by the band Soul II Soul, on which the song Back To Life can be found?",Club Classics Vol.1,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What is the title of the album by the band Soul II Soul, on which the song Back To Life can be found? 

###Response: Club Classics Vol.1"
Give me the name of the singer who is the voice behind the song Back To Life.,Caron Wheeler,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: Give me the name of the singer who is the voice behind the song Back To Life. 

###Response: Caron Wheeler"
When was the very first crossword puzzle published?,The very first crossword puzzle was published in 1913 in the American newspaper New York World.,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: When was the very first crossword puzzle published? 

###Response: The very first crossword was published in 1913 in the American newspaper New York World."
When did RTL start offering online crossword puzzles in Luxembourgish?,"In the summer of 2016, RTL started offering online crossword puzzles in Luxembourgish.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: When did RTL start offering online crossword puzzles in Luxembourgish? 

###Response: RTL started offering online crossword puzzles in Luxembourgish in the summer of 2016."
When can you find the crossword puzzle in the 'Luxembourg Journal' on paper?,You can find the crossword puzzle on paper every Saturday in the 'Luxembourger Journal'.,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: When can you find the crossword puzzle in the 'Luxembourg Journal' on paper? 

###Response: You can find the crossword puzzle on paper every Saturday in the 'Luxembourger Journal'."
What is the purpose of this online crossword puzzle?,"The aim of this online crossword puzzle is to test your knowledge in areas such as culture, sports, politics, history, theology, geography or philosophy.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What is the goal of this online crossword puzzle? 

###Response: The aim of this online crossword puzzle is to test your knowledge in areas such as culture, sports, politics, history, theology, geography or philosophy."
Who made it possible to develop these online crossword puzzles?,The linguist Jérôme Lulling made it possible with his word database to develop these online crossword puzzles.,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: Who made it possible to develop these online crossword puzzles? 

###Response: The linguist Jérôme Lulling made it possible with his word database to develop these online crossword puzzles."
"What was the trigger for the demonstrations against racism and police violence that took place worldwide on June 6, 2020?","The trigger was the death of US African-American George Floyd, who was killed during a police action in Minneapolis.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What was the trigger for the demonstrations against racism and police violence that took place worldwide on June 6, 2020? 

###Response: The trigger was the death of US African-American George Floyd, who was killed during a police action in Minneapolis."
"Where in Australia was a large demonstration against racism and police brutality held on June 6, 2020?","A demonstration was held in Sidney with around 20,000 people.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: Where in Australia was a large demonstration against racism and police violence held on June 6, 2020? 

###Response: A demonstration was held in Sidney with around 20,000 people."
"What happened in Hamburg on June 6, 2020 during a demonstration against racism and police violence?","In Hamburg there were clashes with the police, who then had to use water cannons.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What happened in Hamburg on June 6, 2020 during a demonstration against racism and police violence? 

###Response: In Hamburg there were clashes with the police, who had to use water cannons."
"Where in the United States was a large demonstration against racism and police brutality held on June 6, 2020?","In the capital Washington, a demonstration was held with thousands of people.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: Where in the United States was a large demonstration against racism and police violence held on June 6, 2020? 

###Response: A demonstration with thousands of people was held in the capital Washington."
"What happened in Luxembourg on June 5, 2020 (a Friday) in front of the US Embassy on Lampertsberg?","About 1,500 people had gathered here to show solidarity with the protests in the United States.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What happened in Luxembourg on June 5, 2020 (a Friday) in front of the US Embassy on Lampertsbierg? 

###Response: About 1,500 people gathered here to show solidarity with the protests in the United States."
Given the date of the wedding of Hereditary Grand Duke Guillaume and Comtesse Stéphanie de Lannoy.,"On October 20, 2012.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: Enter the date of the wedding of Hereditary Grand Duke Guillaume and Comtesse Stéphanie de Lannoy. 

###Response: October 20, 2012."
Describes the moment when the Hereditary Grand Duchess Stéphanie came from the state community the day before the church wedding.,"There were surprisingly so many children from the schools there and they made us drawings, they also had presents for us and sang songs. We were there for almost an hour and that was not planned, but it was really beautiful.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: Describe the moment when the Hereditary Grand Duchess Stéphanie came from the state community the day before the church wedding. 

###Response: There were surprisingly so many children from the schools there and they made us drawings, they also had gifts for us and sang songs. We were there for almost an hour and that was not planned, but it was really beautiful."
What is the Hereditary Grand Duke Guillaume's fondest memories of the wedding?,"The moment we gave each other the yes word. There, for the first time, you heard a big applause in the church and only a short time later you could hear people clapping from outside, because there was a small gap between the TV and reality.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What is the Hereditary Grand Duke Guillaume's fondest memories of the wedding? 

###Response: The moment we gave each other the yes word. For the first time in the church, you heard a big applause and only shortly afterwards you could hear people clapping from outside, because there was a small gap between the TV and reality."
What is the role of the hereditary grand ducal couple in the monarchy?,We really live in very complicated times and you have the feeling that you are going from one crisis to another and you also feel how much suffering there is in society and it is up to us to be even closer to the people .,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What is the role of the hereditary grand ducal couple in the monarchy? 

###Response: We really live in very complicated times and one has the feeling that one goes from one crisis to another and there one also feels how much suffering there is in society and it is even closer to us to be with the people."
What did the Hereditary Grand Duchess Stéphanie feel after 10 years in this country?,I feel at home here. I immediately felt welcome and that also motivated me to learn Luxembourgish immediately and I also immediately met many people and made visits.,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What did the Hereditary Grand Duchess Stéphanie feel after 10 years in this country? 

###Response: I feel at home here. I immediately felt welcome and that also motivated me to learn Luxembourgish immediately and I also immediately met many people and made visits."
Give me the number of visitors to the museum 'A Possen' in Bech-Klengmaacher in 2011.,"There were 2,000 people who came to the museum.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: Give me the number of visitors to the museum 'A Possen' in Bech-Klengmaacher in 2011. 

###Response: There were 2,000 people who came to the museum."
What is the main reason for the financial difficulties of the museum 'A Possen'?,The main reason is that the access to the museum was greatly hindered by a construction site for a long time.,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What is the main reason for the financial difficulties of the museum 'A Possen'? 

###Response: The main reason is that the access to the museum was greatly hindered by a construction site for a long time."
What should be done to get out of this unfavorable situation?,Synergies should be worked out with the museums of Éinen and Gréwemacher.,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What should be done to get out of this unfavorable situation? 

###Response: Synergies should be worked out with the museums of Éinen and Gréiwemacher."
Give me the date when the museum building 'A Possen' was built.,The building has existed since the 17th century.,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: Give me the date when the museum building 'A Possen' was built. 

###Response: The building has existed since the 17th century."
What is the number of visitors to the museum 'A Possen' in 2017?,There were 700 people who came to the museum.,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What is the number of visitors to the museum 'A Possen' in 2017? 

###Response: There were 700 people who came to the museum."
"Are the main difficulties that the teachers have in the secondary school, how to abolish the completely revised elementary school.","The professors have difficulties because they have too many students in one class, and it is difficult to take care of everyone individually. The grading system is impossible, and there are different tests in classes, which make it difficult for the students to learn according to their rhythm.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: Are the main difficulties that the teachers have in the secondary school, how to abolish the completely revised elementary school. 

###Response: The professors have difficulties because they have too many students in a class, and it is difficult to take care of everyone individually. The grading system is impossible, and there are different tests in classes, which make it difficult for the students to learn according to their rhythm."
What is the problem with classes that have too many students?,"If you have too many students in a class, you cannot take care of everyone individually, and it is difficult to teach the students according to their rhythm. The students cannot get enough time to do their exercises, and it is difficult to make the assessment system fair.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What is the problem with classes that have too many students? 

###Response: If you have too many students in a class, you cannot take care of everyone individually, and it is difficult to teach the students according to their rhythm. The students cannot get enough time to do their exercises, and it is difficult to make the assessment system fair."
Give an example of how students in an overcrowded class are at a disadvantage.,"An example is how a student who is in a class with 29 students is told only 1-2 sentences per hour, and it is difficult to teach the students according to their rhythm. The students cannot get enough time to do their exercises, and it is difficult to make the assessment system fair.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: Give an example of how students in an overcrowded class are at a disadvantage. 

###Response: An example is when a student who is in a class with 29 students is told only 1-2 sentences per hour, and it is difficult to teach the students according to their rhythm. The students cannot get enough time to do their exercises, and it is difficult to make the assessment system fair."
What is the problem with the grading system in secondary school?,"The evaluation system is impossible, because there are too many students in a class, and it is difficult to take care of everyone individually. The tests are also not fair, and there are different classes that make it difficult for the students to learn according to their rhythm.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What is the problem with the grading system in secondary school? 

###Response: The evaluation system is impossible, because there are too many students in a class, and it is difficult to take care of everyone individually. The tests are also not fair, and there are different classes that make it difficult for the students to learn according to their rhythm."
What is the conclusion of the discussion on the reform of the secondary school?,"The conclusion is that the secondary school must be reformed, and not just talk about competences, without something right about the structures, such as class sizes and other infrastructure in the buildings, in the programs. If not, the difference from elementary school to high school will be even greater, and then the next children who come there will be even more beaten up than before!","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What is the conclusion of the discussion on the reform of the secondary school? 

###Response: The conclusion is that the secondary school must be reformed, and not just talk about competences, without something right about the structures, such as class sizes and other infrastructure in the buildings, in the programs. If not, the difference from elementary school to high school will be even greater, and then the next children who come there will be even more beaten up than before!"
Give me the date of the shooting at the YouTube headquarters near San Francisco.,"On April 3, 2018.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: Give me the date of the shooting at the YouTube headquarters near San Francisco. 

###Response: April 3, 2018."
How many people were injured in the YouTube headquarters near San Francisco?,"Three people were injured, one of them very seriously.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: How many people were injured in the YouTube center near San Francisco? 

###Response: Three people were injured, one of them very seriously."
What was the motive of the woman who shot at the YouTube headquarters near San Francisco?,"However, the motive of the deed is still being speculated, but it is believed that she hated YouTube because they censored her videos.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What was the motive of the woman who shot at the YouTube headquarters near San Francisco? 

###Response: The motive of the deed is still being speculated, but it is believed that she hated YouTube because they censored her videos."
What is known about the woman who shot at the YouTube headquarters near San Francisco?,"The woman was 39 years old, came from southern California, more precisely from San Diego, and was apparently angry with the YouTube company. She was also active as an activist with Peta.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What is known about the woman who shot at the YouTube headquarters near San Francisco? 

###Response: The woman was 39 years old, came from the south of California, more precisely from San Diego, and was apparently angry with the YouTube company. She was also active as an activist with Peta."
Give us the output of the evacuation of the building in the YouTube center near San Francisco.,The entire building was immediately evacuated. Hundreds of people had to leave their jobs. It was only after a few hours that there was a warning that there was no longer any danger for the employees of YouTube.,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: Give me the output of the evacuation of the building in the YouTube center near San Francisco. 

###Response: The entire building was immediately evacuated. Hundreds of people had to leave their jobs. Only after a few hours was there a warning that there was no longer any danger for the employees of YouTube."
What are the main responsibilities of the Project Manager at SES ASTRA TECHCOM SA? (Date of article: 2015-05-06),"The main responsibilities of the Project Manager include: the attraction of contracts, the support of the 'request for proposal' phase, the implementation of satellite control systems, the support of the integration of measurement and control systems, the Implementation of satellite communication platforms, management of other telecommunications projects, collection of customer requirements, support of cost planning and management of commissioning of systems.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What are the main responsibilities of the Project Manager at SES ASTRA TECHCOM SA? (Date of the article: 2015-05-06) 

###Response: The main responsibilities of the Project Manager include: the attraction of contracts, the support of the 'request for proposal' phase, the implementation of Satellite Control Systems, the support of the integration of measurement and control systems, the implementation of satellite communication platforms, the management of other telecommunications projects, the collection of customer requirements, the support of cost planning and the management of the commissioning of systems."
What experiences and qualifications does the Project Manager at SES ASTRA TECHCOM SA have? (Date of article: 2015-05-06),"The Project Manager must have, among other things: a university degree in RF, Electronics, Telecommunications Engineering, Information Technology or equivalent, have at least 5 years of experience in the implementation of telecommunications systems, have experience with institutional clients and international organizations, have excellent and proven project management experience, and speak English fluently.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What experiences and qualifications does the Project Manager at SES ASTRA TECHCOM SA have? (Date of the article: 2015-05-06) 

###Response: The Project Manager must, among other things: have a university degree in RF, Electronics, Telecommunications Engineering, Information Technology or equivalent, have at least 5 years of experience in the implementation of telecommunications systems, Have experience with institutional clients and international organizations, have excellent and proven project management experience, and speak English fluently."
How many jobs are available at SES ASTRA TECHCOM SA? (Date of article: 2015-05-06),There is only 1 vacancy.,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: How many positions are vacant at SES ASTRA TECHCOM SA? (Date of article: 2015-05-06) 

###Response: There is only 1 vacancy."
What is the planned start of the engagement at SES ASTRA TECHCOM SA? (Date of article: 2015-05-06),"The planned start of the engagement is May 11, 2015.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What is the planned start of engagement at SES ASTRA TECHCOM SA? (Date of article: 2015-05-06) 

###Response: The scheduled start of the engagement is May 11, 2015."
What are the required languages and skills for the Project Manager at SES ASTRA TECHCOM SA? (Date of article: 2015-05-06),"The Project Manager must speak English fluently and should also speak other languages. In addition, he should have experience with office and communication software such as Lotus Notes, MS Word, MS Excel, MS Powerpoint and MS Project.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What are the required languages and skills for the Project Manager at SES ASTRA TECHCOM SA? (Date of article: 2015-05-06) 

###Response: The Project Manager must speak English fluently and should also speak other languages. In addition, he should have experience with office and communication software such as Lotus Notes, MS Word, MS Excel, MS Powerpoint and MS Project."
"Give me the title of the album by the Black Eyed Peas, which was released on June 13, 2005.",Monkey Business,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: Give me the title of the album by the Black Eyed Peas, which was released on June 13, 2005. 

###Response: Monkey Business"
Who are the guests who helped on the album Monkey Business?,"James Brown, Justin Timberlake and Jack Johnson are just a few names of the guests who helped with the album.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: Who are the guests who helped with the album Monkey Business? 

###Response: James Brown, Justin Timberlake and Jack Johnson are just a few names of the guests who helped with the album."
What is the title of the first single from the album Monkey Business?,Don't Phunk with My Heart,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What is the title of the first single from the album Monkey Business? 

###Response: Don't Phunk with My Heart"
Who produced the title My Style?,All-time favorite producer Timbaland produced the title My Style.,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: Who produced the title My Style? 

###Response: The all-time favorite producer Timbaland produced the title My Style."
"What is the name of the song that featured Q-Tip, Talib Kweli, Cee-Lo and John Legend?",Like That,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What is the name of the song that featured Q-Tip, Talib Kweli, Cee-Lo and John Legend? 

###Response: Like That"
What is the title of the latest episode of 'Billy the Cat'?,Monsieur Papa,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What is the title of the latest episode of 'Billy the Cat'? 

###Response: Monsieur Papa"
How will Billy be confronted in this episode?,Billy is confronted with his past by wanting to show his father from the time when he was still a little boy that he was a bad father.,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: How will Billy be confronted in this episode? 

###Response: Billy is confronted with his past by wanting to show his father from the time when he was still a little boy that he was a bad father."
What is the educative character of this album?,The album tries to explain to its young readers why their parents sometimes work so much and don't have time for them.,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What is the educational character of this album? 

###Response: The album tries to explain to its young readers why their parents sometimes work so much and don't have time for them."
How has the tone of the series changed over the years?,"The tone of the series has changed a bit over the years, and the series has lost quite a bit of its charm.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: How has the tone of the series changed over the years? 

###Response: The tone of the series has changed a bit over the years, and the series has lost quite a bit of its charm."
When was this article published?,"The article appeared on April 4, 2005.","The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: When was this article published? 

###Response: The article was published on April 4, 2005."
What is the purpose of the action that was organized by the students from the city of Luxembourg in December 2008?,The purpose of the action was to collect money to renovate a school in the Kenyan refugee camp Dadaab.,"The following provides an instruction in the form of a question. Give a response that answers the question accurately. 

###Instruction: What is the purpose of the action that was organized by the students from the city of Luxembourg in December 2008? 

###Response: The purpose of the action was to collect money to renovate a school in the Kenyan refugee camp Dadaab."
